037 0.06	 0.06	 0.06	 0.06	 0.06	 0.06	 0.06	 0.06	 0.06	 0.06	 0.06	 0.06	 alley_1/frame_0038.png
038 0.08	 0.07	 0.08	 0.08	 0.08	 0.08	 0.08	 0.08	 0.08	 0.08	 0.08	 0.08	 alley_1/frame_0039.png
039 0.13	 0.13	 0.13	 0.13	 0.13	 0.13	 0.13	 0.13	 0.13	 0.13	 0.13	 0.13	 alley_1/frame_0040.png
040 0.16	 0.16	 0.16	 0.16	 0.16	 0.16	 0.16	 0.16	 0.16	 0.16	 0.16	 0.16	 alley_1/frame_0041.png
041 0.21	 0.22	 0.22	 0.21	 0.21	 0.21	 0.21	 0.21	 0.21	 0.21	 0.21	 0.21	 alley_1/frame_0042.png
042 0.25	 0.25	 0.25	 0.25	 0.25	 0.25	 0.25	 0.25	 0.25	 0.25	 0.25	 0.25	 alley_1/frame_0043.png
043 0.28	 0.29	 0.28	 0.28	 0.28	 0.28	 0.28	 0.28	 0.28	 0.28	 0.28	 0.28	 alley_1/frame_0044.png
044 0.35	 0.34	 0.35	 0.35	 0.35	 0.35	 0.35	 0.35	 0.35	 0.35	 0.35	 0.35	 alley_1/frame_0045.png
045 0.27	 0.28	 0.27	 0.27	 0.27	 0.27	 0.27	 0.27	 0.27	 0.27	 0.27	 0.27	 alley_1/frame_0046.png
046 0.30	 0.25	 0.26	 0.28	 0.30	 0.30	 0.30	 0.30	 0.30	 0.30	 0.30	 0.30	 alley_1/frame_0047.png
047 0.27	 0.26	 0.27	 0.27	 0.27	 0.27	 0.27	 0.27	 0.27	 0.27	 0.27	 0.27	 alley_1/frame_0048.png
048 0.16	 0.15	 0.16	 0.16	 0.16	 0.16	 0.16	 0.16	 0.16	 0.16	 0.16	 0.16	 alley_1/frame_0049.png
049 0.07	 0.07	 0.07	 0.07	 0.07	 0.07	 0.07	 0.07	 0.07	 0.07	 0.07	 0.07	 alley_2/frame_0001.png
050 0.08	 0.08	 0.08	 0.08	 0.08	 0.08	 0.08	 0.08	 0.08	 0.08	 0.08	 0.08	 alley_2/frame_0002.png
051 0.11	 0.10	 0.11	 0.11	 0.11	 0.11	 0.11	 0.11	 0.11	 0.11	 0.11	 0.11	 alley_2/frame_0003.png
052 0.12	 0.12	 0.12	 0.12	 0.12	 0.12	 0.12	 0.12	 0.12	 0.12	 0.12	 0.12	 alley_2/frame_0004.png
053 0.09	 0.09	 0.09	 0.09	 0.09	 0.09	 0.09	 0.09	 0.09	 0.09	 0.09	 0.09	 alley_2/frame_0005.png
054 0.12	 0.15	 0.12	 0.12	 0.12	 0.12	 0.12	 0.12	 0.12	 0.12	 0.12	 0.12	 alley_2/frame_0006.png
055 0.13	 0.13	 0.13	 0.13	 0.13	 0.13	 0.13	 0.13	 0.13	 0.13	 0.13	 0.13	 alley_2/frame_0007.png
