042 1.27	 1.27	 1.26	 1.25	 1.25	 1.25	 1.26	 1.25	 1.25	 1.25	 1.25	 1.25	 1.25	 1.25	 1.25	 1.25	 1.25	 1.25	 1.25	 1.25	 1.25	 bandage_2/frame_0007.png
043 0.51	 0.50	 0.49	 0.49	 0.49	 0.48	 0.49	 0.49	 0.48	 0.48	 0.48	 0.49	 0.48	 0.48	 0.48	 0.48	 0.49	 0.48	 0.48	 0.48	 0.48	 bandage_2/frame_0017.png
044 0.38	 0.38	 0.38	 0.37	 0.37	 0.37	 0.38	 0.37	 0.37	 0.37	 0.37	 0.37	 0.37	 0.37	 0.37	 0.37	 0.37	 0.37	 0.37	 0.37	 0.37	 bandage_2/frame_0027.png
045 0.20	 0.20	 0.20	 0.20	 0.20	 0.20	 0.20	 0.20	 0.20	 0.20	 0.20	 0.20	 0.20	 0.20	 0.20	 0.20	 0.20	 0.20	 0.20	 0.20	 0.20	 bandage_2/frame_0037.png
046 0.09	 0.09	 0.09	 0.09	 0.09	 0.09	 0.09	 0.09	 0.09	 0.09	 0.09	 0.09	 0.09	 0.09	 0.09	 0.09	 0.09	 0.09	 0.09	 0.09	 0.09	 bandage_2/frame_0047.png
047 1.36	 1.35	 1.30	 1.49	 1.57	 1.57	 1.30	 1.57	 1.57	 1.57	 1.58	 1.38	 1.57	 1.57	 1.58	 1.57	 1.53	 1.57	 1.58	 1.58	 1.57	 cave_2/frame_0008.png
048 3.67	 3.67	 3.65	 3.66	 3.66	 3.66	 3.65	 3.66	 3.66	 3.66	 3.81	 3.64	 3.66	 3.66	 3.81	 3.81	 3.66	 3.66	 3.81	 3.81	 3.81	 cave_2/frame_0018.png
049 8.62	 8.59	 8.54	 8.54	 8.54	 8.54	 8.54	 8.54	 8.54	 8.55	 8.57	 8.54	 8.54	 8.54	 8.55	 8.57	 8.54	 8.57	 8.55	 8.55	 8.57	 cave_2/frame_0028.png
050 5.04	 5.11	 5.14	 5.32	 5.35	 5.35	 5.16	 5.32	 5.35	 5.35	 5.33	 5.15	 5.35	 5.34	 5.34	 5.33	 5.32	 5.34	 5.35	 5.34	 5.38	 cave_2/frame_0038.png
051 0.52	 0.53	 0.54	 0.54	 0.54	 0.54	 0.52	 0.54	 0.54	 0.54	 0.54	 0.54	 0.54	 0.54	 0.54	 0.54	 0.54	 0.54	 0.54	 0.54	 0.54	 cave_2/frame_0048.png
052 4.54	 4.47	 4.52	 4.52	 4.61	 4.60	 4.52	 4.54	 4.54	 4.61	 4.61	 4.51	 4.53	 4.61	 4.61	 4.61	 4.53	 4.54	 4.61	 4.61	 4.61	 cave_4/frame_0009.png
053 2.04	 2.04	 2.04	 2.05	 2.05	 2.05	 2.04	 2.05	 2.06	 2.10	 2.08	 2.04	 2.05	 2.10	 2.10	 2.10	 2.05	 2.10	 2.10	 2.11	 2.14	 cave_4/frame_0019.png
054 0.63	 0.63	 0.63	 0.63	 0.63	 0.67	 0.63	 0.63	 0.68	 0.68	 0.68	 0.62	 0.63	 0.68	 0.68	 0.69	 0.62	 0.68	 0.69	 0.68	 0.69	 cave_4/frame_0029.png
055 0.90	 0.89	 0.89	 0.93	 0.93	 0.94	 0.89	 0.93	 0.93	 0.94	 0.94	 0.90	 0.94	 0.94	 0.94	 0.94	 0.93	 0.94	 0.94	 0.94	 0.94	 cave_4/frame_0039.png
056 5.46	 5.47	 5.48	 6.63	 6.63	 6.88	 5.49	 6.60	 6.88	 6.87	 7.05	 6.60	 6.59	 6.86	 7.05	 7.05	 6.60	 6.58	 7.05	 7.05	 7.05	 cave_4/frame_0049.png
057 1.18	 1.13	 1.12	 1.11	 1.11	 1.10	 1.13	 1.11	 1.11	 1.10	 1.10	 1.11	 1.11	 1.11	 1.11	 1.11	 1.11	 1.11	 1.11	 1.11	 1.11	 market_2/frame_0010.png
058 1.21	 1.21	 1.20	 1.20	 1.16	 1.16	 1.18	 1.16	 1.16	 1.16	 1.16	 1.18	 1.16	 1.16	 1.16	 1.16	 1.16	 1.16	 1.16	 1.16	 1.16	 market_2/frame_0020.png
059 0.39	 0.39	 0.38	 0.39	 0.39	 0.41	 0.39	 0.38	 0.39	 0.41	 0.41	 0.39	 0.39	 0.41	 0.41	 0.41	 0.39	 0.41	 0.41	 0.41	 0.41	 market_2/frame_0030.png
060 0.10	 0.10	 0.10	 0.10	 0.10	 0.10	 0.10	 0.10	 0.10	 0.10	 0.10	 0.10	 0.10	 0.10	 0.10	 0.10	 0.10	 0.10	 0.10	 0.10	 0.10	 market_2/frame_0040.png
061 7.57	 8.03	 8.05	 8.04	 8.23	 8.28	 8.05	 8.04	 8.28	 8.28	 8.30	 8.04	 8.23	 8.28	 8.29	 8.30	 8.23	 8.28	 8.29	 8.29	 8.30	 market_5/frame_0001.png
062 17.41	 18.00	 18.36	 18.37	 18.10	 18.10	 18.37	 18.37	 18.10	 18.10	 18.08	 18.37	 18.35	 18.10	 18.08	 18.09	 18.37	 18.35	 18.09	 18.09	 18.09	 market_5/frame_0011.png
063 15.23	 15.56	 16.41	 16.17	 16.18	 15.70	 15.48	 16.17	 15.70	 15.72	 15.72	 16.17	 15.70	 15.72	 15.72	 15.74	 15.70	 15.70	 15.72	 15.74	 15.74	 market_5/frame_0021.png
064 9.70	 9.70	 9.73	 9.66	 9.66	 9.66	 9.68	 9.65	 9.66	 9.66	 9.66	 9.66	 9.66	 9.66	 9.66	 9.66	 9.66	 9.66	 9.66	 9.66	 9.66	 market_5/frame_0031.png
065 1.36	 1.34	 1.34	 1.35	 1.64	 1.64	 1.36	 1.35	 1.64	 1.64	 1.64	 1.36	 1.56	 1.64	 1.64	 1.64	 1.56	 1.64	 1.64	 1.64	 1.64	 market_5/frame_0041.png
066 3.57	 3.57	 3.57	 3.58	 3.58	 3.58	 3.58	 3.55	 3.60	 3.59	 3.60	 3.58	 3.56	 3.59	 3.60	 3.60	 3.57	 3.56	 3.60	 3.61	 3.60	 market_6/frame_0002.png
067 3.26	 3.27	 3.84	 3.84	 3.84	 3.84	 3.83	 3.84	 3.83	 3.84	 3.84	 3.83	 3.84	 3.83	 3.84	 3.84	 3.83	 3.84	 3.83	 3.83	 3.83	 market_6/frame_0012.png
068 0.95	 0.95	 0.94	 0.93	 0.93	 0.93	 0.94	 0.93	 0.94	 0.94	 0.93	 0.94	 0.94	 0.94	 0.94	 0.93	 0.93	 0.94	 0.94	 0.94	 0.93	 market_6/frame_0022.png
069 2.97	 3.00	 3.05	 3.07	 3.07	 3.06	 3.04	 3.07	 3.06	 3.06	 3.06	 3.05	 3.07	 3.06	 3.06	 3.06	 3.06	 3.06	 3.06	 3.06	 3.06	 market_6/frame_0032.png
070 0.44	 0.44	 0.44	 0.44	 0.44	 0.44	 0.44	 0.44	 0.44	 0.44	 0.44	 0.45	 0.44	 0.44	 0.44	 0.44	 0.44	 0.44	 0.44	 0.44	 0.44	 mountain_1/frame_0003.png
071 0.60	 0.60	 0.60	 0.61	 0.61	 0.61	 0.60	 0.61	 0.62	 0.63	 0.63	 0.61	 0.62	 0.63	 0.63	 0.63	 0.61	 0.63	 0.63	 0.63	 0.63	 mountain_1/frame_0013.png
072 0.91	 0.91	 0.94	 0.94	 2.51	 2.51	 0.94	 0.94	 2.51	 2.51	 2.51	 0.94	 2.51	 2.51	 2.51	 2.51	 0.94	 2.51	 2.51	 2.51	 2.51	 mountain_1/frame_0023.png
073 0.35	 0.33	 0.33	 0.33	 0.33	 0.33	 0.33	 0.34	 0.33	 0.33	 0.33	 0.34	 0.33	 0.33	 0.33	 0.33	 0.34	 0.33	 0.33	 0.33	 0.33	 mountain_1/frame_0033.png
074 0.39	 0.39	 0.39	 0.39	 0.39	 0.39	 0.39	 0.39	 0.39	 0.39	 0.39	 0.39	 0.39	 0.39	 0.39	 0.39	 0.38	 0.39	 0.39	 0.39	 0.39	 mountain_1/frame_0043.png
075 0.19	 0.19	 0.19	 0.19	 0.19	 0.19	 0.19	 0.19	 0.19	 0.19	 0.19	 0.19	 0.19	 0.19	 0.19	 0.19	 0.19	 0.19	 0.19	 0.19	 0.19	 shaman_2/frame_0004.png
076 0.30	 0.30	 0.30	 0.29	 0.29	 0.29	 0.30	 0.29	 0.29	 0.30	 0.30	 0.29	 0.29	 0.30	 0.30	 0.30	 0.29	 0.30	 0.31	 0.31	 0.30	 shaman_2/frame_0014.png
077 0.30	 0.30	 0.30	 0.30	 0.30	 0.30	 0.30	 0.30	 0.30	 0.30	 0.30	 0.30	 0.30	 0.30	 0.30	 0.30	 0.30	 0.30	 0.30	 0.30	 0.30	 shaman_2/frame_0024.png
078 0.30	 0.30	 0.30	 0.30	 0.30	 0.30	 0.30	 0.30	 0.30	 0.30	 0.30	 0.30	 0.30	 0.30	 0.30	 0.30	 0.30	 0.30	 0.30	 0.30	 0.30	 shaman_2/frame_0034.png
079 0.14	 0.14	 0.14	 0.14	 0.14	 0.14	 0.14	 0.14	 0.14	 0.14	 0.14	 0.14	 0.14	 0.14	 0.14	 0.14	 0.14	 0.14	 0.14	 0.14	 0.14	 shaman_2/frame_0044.png
080 0.20	 0.20	 0.20	 0.20	 0.20	 0.20	 0.24	 0.20	 0.20	 0.20	 0.20	 0.20	 0.20	 0.20	 0.20	 0.20	 0.20	 0.20	 0.20	 0.20	 0.20	 shaman_3/frame_0005.png
081 0.25	 0.25	 0.25	 0.24	 0.24	 0.24	 0.25	 0.24	 0.24	 0.24	 0.24	 0.25	 0.24	 0.24	 0.24	 0.24	 0.24	 0.24	 0.24	 0.24	 0.26	 shaman_3/frame_0015.png
